year,month,avg_sst,wind_speed,wave_height,salinity,chlorophyll,fish_quantity,weather_risk
2015,1,26.183925865,13.490142459033699,1.6305276360899446,34.55195427775536,0.7013998130682335,104.28039421772009,Moderate
2015,2,26.365594883809525,11.585207096486446,1.5025567283212304,34.61559521391865,0.6821270486111577,100.69048621377739,Moderate
2015,3,27.19731629190476,13.943065614302078,1.3827064333124266,34.23484276913966,0.969920419404205,242.05275663114244,Safe
2015,4,27.899663902619046,16.569089569224076,0.7923146289747929,34.54611753178366,0.8714030971930096,285.69596439045944,Moderate
2015,5,28.23204486190476,11.297539875829992,1.2896773386173206,34.5174626155338,0.6614180809478691,174.38364228149283,Safe
2015,6,27.751892487380957,11.297589129152458,1.3286427417366153,34.15710891065081,0.9799199750866502,326.73620603302214,Safe
2015,7,27.116471058809523,16.737638446522176,1.0988613653891905,34.607336208104485,0.8614599041753219,235.33730436958288,Moderate
2015,8,26.85044012857143,14.302304187458727,1.4193571441669954,34.66823535791047,0.9625724237677921,226.94884739775026,Moderate
2015,9,26.993606792380955,10.591576842195144,1.7020254284072691,34.82491537295258,0.9259257683847225,195.2976426292068,Moderate
2015,10,27.36229963261905,13.627680130757895,2.443092950605265,34.81614061561047,0.6342009978155856,64.8946333412667,Dangerous
2015,11,27.24039726,10.609746921562614,1.5872889064159195,34.08669918961287,0.6879637919606061,143.05146238436663,Moderate
2015,12,27.069835356666665,10.602810739289229,1.6287751953613823,34.21865248802546,0.9494587210246525,257.8280780307728,Moderate
2016,1,26.797666308333334,12.725886814698102,1.4627770421169164,34.6545105801626,0.922074053086693,196.16826124325118,Safe
2016,2,26.71749251047619,6.260159266026607,0.5406143923504793,34.65413578527366,0.7958196812071704,263.48699983943783,Safe
2016,3,27.68304963047619,6.825246502460901,1.4867430622753917,34.654514305891816,0.8234654766617564,243.7211538851871,Safe
2016,4,28.257187714761905,10.313137412277083,1.5301151049705133,35.655819447196414,1.055532979157685,339.2305137009949,Moderate
2016,5,28.32897105738095,8.961506638996728,2.731621056242643,34.67126715320795,0.6816857222328341,95.74493142178795,Dangerous
2016,6,27.55020440119048,12.942741997785822,1.4038195176094388,34.84066969205418,0.9094194762340077,258.0994441287505,Safe
2016,7,26.74791154809524,9.275927773436367,1.6507736711668062,34.78620052904796,0.7595614695132212,139.2852107278328,Moderate
2016,8,26.456413945238094,7.763088895994126,1.4826441151473784,34.69541737539174,0.756463759354556,161.27939558426579,Safe
2016,9,26.330023474047614,16.39694630676466,0.915660981190234,34.4054192266079,1.019755370397438,267.6699115675162,Moderate
2016,10,26.57829013357143,11.322671098540393,2.0714114072575103,34.72769076614798,0.9650832697976061,194.55522769947802,Dangerous
2016,11,26.645530602619047,12.202584614063772,1.8759665163433872,34.268152435638726,0.9627019272001278,210.48597377835654,Moderate
2016,12,26.42649728285714,7.725755441359629,1.8955159735215235,34.428954417978,1.0610957614308658,234.35850942054398,Moderate
